波次序号,订单编号,分拣项数
1,D1469|D1159|D50|D46|D237|D830|D999|D1386|D1482|D1360|D1565|D225|D211|D1416|D956|D45,89
2,D471|D704|D972|D468|D374|D1205|D850|D1007|D1555|D341|D265|D1296|D1061|D1056|D874|D439,64
3,D1096|D1151|D1268|D524|D742|D616|D1144|D822|D1121|D117|D1251|D1106|D351|D671|D1011|D1177,116
4,D699|D48|D1587|D541|D1305|D1572|D1507|D19|D941|D990|D1172|D1016|D251|D1452|D366|D1309,58
5,D1161|D1405|D877|D1578|D620|D295|D1026|D773|D121|D816|D1209|D750|D723|D1409|D1017|D951,85
6,D597|D1477|D1512|D875|D477|D298|D1346|D1292|D1033|D656|D1283|D630|D1182|D1426|D1150|D164,73
7,D74|D603|D1042|D493|D509|D1362|D203|D418|D651|D1529|D1062|D391|D1546|D247|D392|D873,94
8,D731|D588|D85|D242|D864|D932|D301|D1411|D547|D1448|D1278|D484|D1307|D1553|D549|D635,54
9,D895|D615|D969|D1535|D445|D1142|D122|D903|D36|D234|D1243|D1168|D1368|D508|D803|D898,89
10,D548|D1069|D1063|D148|D1573|D1524|D184|D256|D1025|D97|D743|D313|D427|D326|D1473|D367,84
11,D480|D446|D212|D1284|D86|D758|D729|D871|D1376|D561|D310|D1099|D949|D1088|D590|D143,162
12,D1128|D1167|D3|D1029|D1237|D269|D836|D777|D525|D939|D781|D567|D1415|D617|D834|D27,28
13,D516|D755|D637|D1317|D745|D735|D1585|D1510|D1454|D654|D1130|D429|D138|D1210|D200|D1230,77
14,D475|D1101|D1440|D833|D1105|D648|D486|D835|D179|D1321|D657|D96|D414|D440|D1255|D456,172
15,D789|D137|D276|D340|D407|D163|D356|D1015|D1511|D420|D1327|D545|D893|D344|D1397|D173,131
16,D207|D1256|D1319|D952|D978|D87|D626|D1351|D1103|D61|D824|D1341|D771|D304|D1483|D1392,78
17,D359|D965|D232|D196|D818|D1303|D1500|D1242|D1399|D741|D336|D1051|D687|D562|D1248|D1457,60
18,D1484|D213|D1203|D1468|D1285|D1141|D1571|D14|D1434|D1027|D695|D823|D513|D1521|D1367|D1320,65
19,D1586|D1187|D153|D987|D799|D1402|D868|D571|D296|D1198|D804|D764|D664|D785|D218|D273,40
20,D1173|D697|D1557|D892|D231|D454|D712|D1324|D1135|D753|D945|D1328|D1421|D396|D929|D901,48
21,D221|D766|D1506|D505|D167|D1550|D1343|D1406|D1544|D856|D112|D181|D967|D1001|D918|D775,64
22,D957|D462|D362|D529|D1543|D530|D724|D592|D672|D794|D210|D955|D25|D450|D629|D793,35
23,D1480|D769|D423|D984|D1542|D681|D419|D352|D180|D1308|D922|D784|D826|D382|D911|D33,54
24,D923|D1291|D538|D1139|D472|D1479|D719|D1231|D583|D1228|D523|D1533|D131|D801|D29|D1289,95
25,D1466|D268|D1147|D434|D998|D197|D416|D13|D1408|D611|D574|D1217|D235|D6|D1318|D993,85
26,D1193|D739|D600|D1018|D1519|D155|D1192|D375|D1066|D1435|D1584|D1488|D737|D1071|D1574|D1591,58
27,D106|D161|D869|D280|D358|D711|D142|D1516|D1410|D631|D436|D1537|D1504|D63|D1340|D1014,104
28,D902|D1024|D1274|D760|D443|D1098|D1126|D1377|D1148|D1371|D1380|D563|D698|D1495|D733|D1039,131
